ConditionalTree,M5P,Cubist,SVMR,LARS,MARS
-0.014782609,-0.154252227,0.010000045,-0.130830976,-0.182750664,-0.063597834
0.055217391,-0.084252227,0.080000045,-0.096335774,-0.116615904,0.006402166
-0.036029412,0.235747773,-0.053274741,0.061069516,-0.028633795,0.07526304
-0.044782609,-0.184252227,-0.019999955,-0.124061033,-0.19249744,-0.093597834
0.1625,0.02963147,0.139642518,-0.085597118,-0.117381441,0.069656148
0.0125,-0.120343477,0.000329869,-0.254711837,-0.231072167,-0.078271904
-0.0175,-0.150343477,-0.014670146,-0.256047935,-0.248466663,-0.108271904
0.0425,-0.090343477,0.045329854,-0.222062943,-0.192331903,-0.048271904
-0.0175,-0.150343477,-0.014670146,-0.234949525,-0.240071628,-0.108271904
0.0025,-0.130343477,-0.041670136,-0.269656632,-0.307641131,-0.169980754
-0.0175,-0.150343477,-0.014670146,-0.232429131,-0.23877444,-0.108271904
0.047075194,-0.013686448,0.069288142,-0.039215919,0.009714707,0.025313654
-0.013333333,0.096313552,0.069288127,-0.001368548,0.014260205,0.021484892
-0.0275,0.006313552,0.029288139,-0.016721766,-0.000480109,0.045313654
-0.092924806,-0.153686448,-0.070711858,-0.110851289,-0.113314959,-0.114686346
-0.052924806,-0.113686448,-0.030711858,-0.056478514,-0.074004435,-0.074686346
-0.032924806,-0.093686448,-0.010711858,-0.039508452,-0.052017771,-0.054686346
-0.005789474,-0.011215398,-0.002432282,-0.017044277,0.054534278,0.04270714
0.021025641,0.158784602,-0.006013763,-0.036240463,0.021102948,-0.023424965
0.034210526,0.028784602,0.072567685,0.124527335,0.109055892,0.08270714
-0.085789474,-0.091215398,-0.047432315,-0.048131302,0.001316166,-0.03729286
-0.035789474,-0.041215398,0.002567685,0.001147916,0.071949119,0.01270714
-0.085789474,-0.091215398,-0.047432315,-0.04859212,0.016236241,-0.03729286
-0.075789474,-0.081215398,-0.037432315,0.014518217,0.023174355,-0.02729286
0.044210526,0.038784602,0.050567679,0.038972609,0.08434871,0.09270714
-0.006666667,0.134323148,0.038337319,0.069001514,0.122815042,0.100242934
0.065641026,-0.015676852,0.091337268,0.11824323,0.07790978,0.065956066
-0.054358974,-0.135676852,0.025337288,0.075770456,-0.029829945,-0.054043934
0.025833333,0.174323148,0.016611285,0.000689796,0.049645277,0.020605469
-0.104358974,-0.185676852,-0.029662707,0.001254089,-0.067971756,-0.104043934
0.015641026,-0.065676852,0.033337312,-0.000604871,-0.006797402,0.015956066
0.107075194,0.058311021,0.037118022,0.059125457,0.046822161,0.054940764
-0.032924806,-0.081688979,-0.063881943,-0.019766151,-0.053315434,-0.085059236
-0.01,-0.121688979,-0.054881978,-0.0088464,-0.09637732,-0.125059236
-0.057222222,-0.084821022,-0.030742052,0.006021247,0.053002774,0.022540122
-0.007222222,-0.034821022,-0.008742049,0.019609328,0.069729212,0.072540122
0.056666667,0.085178978,0.028257947,0.024473525,0.093374738,0.07682699
-0.037222222,-0.064821022,-0.00474201,0.048008349,0.060040275,0.042540122
-0.047222222,-0.074821022,-0.016742043,0.100512562,0.06258794,0.032540122
-0.017222222,-0.044821022,0.006257987,0.087171992,0.082026939,0.062540122
0.023333333,-0.068621575,0.023375456,-0.185991108,-0.175582546,-0.032381998
0.063333333,-0.028621575,0.066375477,-0.192551058,-0.139612752,0.007618002
0.073333333,-0.018621575,0.070375435,-0.189488027,-0.133554542,0.017618002
-0.018974359,0.311378425,-0.033590039,-0.012754704,-0.00882543,0.11201748
-0.006666667,-0.098621575,-0.035624528,-0.254695628,-0.276181716,-0.144192542
0.023333333,-0.068621575,0.041375463,-0.167455695,-0.13797926,-0.032381998
-0.024166667,0.321378425,-0.00883324,0.005341317,0.000863009,0.122208791
0.003333333,-0.088621575,0.021375463,-0.231424931,-0.167930396,-0.052381998
0.056666667,0.181234722,0.176395178,0.099881461,0.062319336,0.1013885
-0.031111111,-0.138765278,-0.054604836,0.024719419,-0.122982805,-0.104858195
0.146363636,0.241234722,0.214395163,0.122396681,0.127389159,0.159428673
0.031025641,0.241234722,0.005220023,0.020173665,0.014530953,0.039409537
-0.021111111,-0.128765278,-0.072604833,0.008829201,-0.137516103,-0.094858195
0.01,0.181234722,0.18239516,0.107064192,0.097174668,0.133285513
-0.021111111,-0.128765278,-0.072604833,0.008497203,-0.110335753,-0.094858195
-0.031111111,-0.138765278,-0.069604821,0.047645291,-0.124574012,-0.104858195
-0.051111111,-0.158765278,-0.070604827,0.03123459,-0.14339764,-0.124858195
0.028888889,-0.078765278,-0.022604833,0.005449044,-0.122223285,-0.044858195
-0.066258139,-0.122230353,-0.16410188,-0.085087568,-0.134696519,-0.160928264
0.034166667,0.003745285,0.056267169,0.003811482,0.040069043,0.018970207
-0.035833333,-0.066254715,0.031267126,0.021528763,-0.0006876,-0.051029793
0.184166667,0.153745285,0.011267116,0.068481807,0.089684364,0.053257075
0.034166667,0.003745285,0.054267135,0.020912541,0.009874227,0.018970207
0.004166667,-0.026254715,0.034267125,0.050977364,0.047672329,-0.011029793
0.015833333,0.223745285,0.009561268,0.002007465,0.046514599,0.003453085
-0.065833333,-0.096254715,0.010267129,-0.063018702,-0.043650099,-0.081029793
-0.085833333,-0.116254715,-0.00673285,-0.009549688,-0.051102435,-0.101029793
0.054166667,0.023745285,0.076267169,0.01553722,0.03007192,0.038970207
0.044210526,0.043100992,-7.15E-09,0.031875945,0.013473472,-0.009492
0.033970588,0.193100992,0.00883122,-0.045883879,0.041620142,0.002986983
-0.005789474,-0.006899008,-0.009999986,0.059957056,0.038930851,0.054307857
-0.018974359,0.303714989,0.12198324,0.031801247,-0.01028765,0.119822192
0.01,-0.006285011,0.006435704,-0.083356305,-0.102334707,0.044438675
0.03,0.013714989,0.004435689,-0.003976166,-0.117239582,0.064438675
-0.034166667,0.303714989,-0.013973435,0.024497175,-0.01059921,0.120012704
0.01,-0.006285011,0.03143568,-0.01750435,-0.075154357,0.044438675
-0.036029412,0.303714989,-0.042748889,0.065863511,-0.024352598,0.104409693
-0.02,-0.036285011,-0.003564315,-0.070514382,-0.120763907,0.014438675
0.1,0.083714989,0.052435675,0.028034558,-0.056821249,0.134438675
0.077766667,0.018194487,0.063801448,-0.117047835,-0.087677964,0.066136813
0.017766667,-0.041805513,0.003801448,-0.144792146,-0.142967905,0.006136813
-0.145,-0.101805513,-0.056198552,-0.126477111,-0.19070763,-0.053863187
-0.002233333,-0.061805513,-0.016198552,-0.099970876,-0.130074677,-0.013863187
-0.082233333,-0.141805513,-0.096198552,-0.168089296,-0.231397105,-0.093863187
-0.17,-0.131805513,-0.086198552,-0.158416382,-0.219410442,-0.083863187
0.029166667,-0.062608163,0.010357559,0.040949813,-0.078313167,-0.02548546
0.169166667,0.077391837,0.01135756,0.043366412,-0.043767668,0.000635838
0.019166667,-0.072608163,0.008357575,-0.013038575,-0.098124721,-0.03548546
-0.042,0.237391837,-0.004856539,0.0451811,0.008443949,0.03852241
0.069166667,-0.022608163,0.048357584,-0.000284502,-0.068507983,0.01451454
0.089166667,-0.002608163,-0.058642449,0.001736714,-0.088912336,-0.047431988
0.005833333,0.237391837,0.001889694,0.131525755,0.008132389,0.038714039
-0.020833333,-0.112608163,-0.031642425,-0.011562448,-0.096422758,-0.07548546
-0.060833333,-0.152608163,-0.025642421,-0.046510147,-0.152032308,-0.11548546
0.001515152,-0.050799311,-0.013995299,-0.116246647,-0.08236077,-0.02350433
0.071515152,0.019200689,0.064004717,-0.002949525,-0.022172325,0.04649567
0.071515152,0.019200689,0.025004742,0.011068627,-0.020332767,0.04649567
0.001515152,-0.050799311,-0.015995274,-0.090725921,-0.112555586,-0.02350433
-0.058484848,-0.110799311,-0.065995283,-0.060308171,-0.110470361,-0.08350433
-0.018484848,-0.070799311,-0.025995283,-0.075599836,-0.07470862,-0.04350433
-0.008484848,-0.060799311,0.018004756,-0.046977944,-0.074093248,-0.03350433
0.067936508,0.006446977,0.084257355,-0.112216506,-0.059998497,0.006694259
-0.012063492,-0.073553023,0.004257355,-0.108584525,-0.110755139,-0.073305741
0.077936508,0.016446977,0.094257355,-0.047811908,-0.054028702,0.016694259
0.097936508,0.036446977,0.114257355,-0.029502186,-0.037970493,0.036694259
-0.042,0.316446977,0.000971276,0.000458821,0.036758619,0.081306614
0.017936508,-0.043553023,0.054257336,-0.094293325,-0.07239521,-0.043305741
0.025833333,0.336446977,0.02780021,0.037408471,0.056447059,0.101497752
-0.082063492,-0.143553023,-0.065742645,-0.185579962,-0.193717638,-0.143305741
-0.022063492,-0.083553023,-0.057742631,-0.14891417,-0.17999562,-0.083305741
-0.192270834,-0.142128148,0.020038572,-0.153156274,-0.173086637,-0.10768437
0.035555556,0.032601444,0.031722114,-0.081006335,0.062010513,0.02184942
-0.014444444,-0.017398556,0.026722131,0.010932742,0.04125387,-0.02815058
0.056,0.252601444,0.036096083,-0.010064731,0.068767629,0.005951588
-0.05,0.112601444,-0.017277894,0.014106495,0.071411344,0.019935637
-0.004444444,-0.007398556,-0.00027787,-0.032016517,0.059613799,-0.01815058
-0.014444444,-0.017398556,-0.01027787,-0.027721801,0.039662663,-0.02815058
0.023970588,0.242601444,0.018760629,-0.045159537,0.044702681,-0.019545086
